kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 6.11, actual time = 6.84).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.08, actual time = 7.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.35, actual time = 6.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.44, actual time = 8.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.27, actual time = 6.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.28, actual time = 8.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.28, actual time = 6.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.67, actual time = 7.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.37, actual time = 7.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.79, actual time = 8.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.78, actual time = 8.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.00, actual time = 6.70).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.36, actual time = 10.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.73, actual time = 6.80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.24, actual time = 7.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.20, actual time = 7.49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.16, actual time = 9.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.88, actual time = 7.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.35, actual time = 8.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.32, actual time = 7.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.42, actual time = 7.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.45, actual time = 9.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.00, actual time = 7.35).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.46, actual time = 7.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.18, actual time = 6.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.69, actual time = 9.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.51, actual time = 9.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.69, actual time = 9.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.88, actual time = 9.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.56, actual time = 7.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.96, actual time = 9.93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.56, actual time = 7.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.50, actual time = 7.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.07, actual time = 6.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.41, actual time = 7.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.84, actual time = 7.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.26, actual time = 7.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.67, actual time = 6.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.59, actual time = 7.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.15, actual time = 7.23).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.28, actual time = 6.92).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.31, actual time = 7.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.47, actual time = 8.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.43, actual time = 6.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.51, actual time = 8.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.59, actual time = 9.37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.62, actual time = 7.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.18, actual time = 7.09).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.07, actual time = 7.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.68, actual time = 9.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.30, actual time = 6.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.05, actual time = 7.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.45, actual time = 7.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.90, actual time = 7.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.56, actual time = 8.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.58, actual time = 13.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.12, actual time = 9.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.34, actual time = 7.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.38, actual time = 8.51).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.25, actual time = 7.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.58, actual time = 6.70).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.36, actual time = 7.93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.52, actual time = 6.67).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.85, actual time = 6.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.34, actual time = 6.51).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.26, actual time = 6.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.33, actual time = 6.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.10, actual time = 7.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.37, actual time = 6.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.01, actual time = 8.37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.29, actual time = 7.05).	[MsgId: MWAR-15995]
